"","age_ce","estimate","lower_ci","upper_ci"
"278",277,-0.338976503006311,-0.63637785053619,-0.0415751560549212
"279",278,-0.338568622751959,-0.635651195584803,-0.0414860504461209
"280",279,-0.338160742497607,-0.634924540633416,-0.0413969448373207
"281",280,-0.337752862243255,-0.634197885682028,-0.0413078392285204
"282",281,-0.337344981988903,-0.633471230730641,-0.0412187336197202
"283",282,-0.336937101734551,-0.632744575779254,-0.04112962801092
"284",283,-0.336529221480199,-0.632017920827866,-0.0410405224021197
"285",284,-0.336121341225847,-0.631291265876479,-0.0409514167933195
"286",285,-0.335713460971496,-0.630564610925092,-0.0408623111845192
"287",286,-0.335305580717144,-0.629837955973704,-0.040773205575719
"288",287,-0.334897700462792,-0.629111301022317,-0.0406840999669187
"289",288,-0.33448982020844,-0.62838464607093,-0.0405949943581185
"290",289,-0.334239103724621,-0.6278382658358,-0.0406399416134425
"291",290,-0.334037033267782,-0.627347685030023,-0.040726381505541
"292",291,-0.333834962810943,-0.626857104224246,-0.0408128213976394
"293",292,-0.333632892354103,-0.626366523418469,-0.0408992612897379
"294",293,-0.333430821897264,-0.625875942612692,-0.0409857011818364
"295",294,-0.333228751440425,-0.625385361806915,-0.0410721410739349
"296",295,-0.333026680983585,-0.624894781001137,-0.0411585809660333
"297",296,-0.332824610526746,-0.62440420019536,-0.0412450208581318
"298",297,-0.332622540069907,-0.623913619389583,-0.0413314607502303
"299",298,-0.332420469613068,-0.623423038583806,-0.0414179006423287
"300",299,-0.332218399156228,-0.622932457778029,-0.0415043405344272
"301",300,-0.332016328699389,-0.622441876972252,-0.0415907804265257
"302",301,-0.33181425824255,-0.621951296166475,-0.0416772203186242
"303",302,-0.33161218778571,-0.621460715360698,-0.0417636602107226
"304",303,-0.331410117328871,-0.620970134554921,-0.0418501001028211
"305",304,-0.331208046872032,-0.620479553749144,-0.0419365399949196
"306",305,-0.331005976415193,-0.619988972943367,-0.0420229798870181
"307",306,-0.330803905958353,-0.61949839213759,-0.0421094197791165
"308",307,-0.330601835501514,-0.619007811331813,-0.042195859671215
"309",308,-0.330465679071276,-0.618590099279342,-0.0423412588632097
"310",309,-0.330457473398559,-0.618313838336232,-0.0426011084608855
"311",310,-0.330449267725841,-0.618037577393121,-0.0428609580585612
"312",311,-0.330441062053124,-0.61776131645001,-0.0431208076562369
"313",312,-0.330432856380406,-0.617485055506899,-0.0433806572539127
"314",313,-0.330424650707689,-0.617208794563789,-0.0436405068515884
