sitename,depth,age,age_ce,taxa,value,elementtype,ecologicalgroup,group
Caldeirão Connor,265,5557,-3607,Ranunculus cortusifolius,7,pollen,UPHE,Herb
Caldeirão Connor,270,5832,-3882,Ranunculus cortusifolius,7,pollen,UPHE,Herb
Caldeirão Connor,277,8032,-6082,Ranunculus cortusifolius,80,pollen,UPHE,Herb
Caldeirão Connor,280,9532,-7582,Ranunculus cortusifolius,41,pollen,UPHE,Herb
Caldeirão Connor,285,11032,-9082,Ranunculus cortusifolius,22,pollen,UPHE,Herb
Caldeirão Connor,290,11435,-9485,Ranunculus cortusifolius,15,pollen,UPHE,Herb
Caldeirão Connor,295,11823,-9873,Ranunculus cortusifolius,24,pollen,UPHE,Herb
Caldeirão Connor,297,11979,-10029,Ranunculus cortusifolius,19,pollen,UPHE,Herb
Caldeirão Connor,302,12403,-10453,Ranunculus cortusifolius,17,pollen,UPHE,Herb
Caldeirão Connor,0,-68,2018,Rhynchospora,1,pollen,AQVP,Herb
Caldeirão Connor,10,-42,1992,Rhynchospora,3,pollen,AQVP,Herb
Caldeirão Connor,20,-16,1966,Rhynchospora,2,pollen,AQVP,Herb
Caldeirão Connor,30,11,1939,Rhynchospora,2,pollen,AQVP,Herb
Caldeirão Connor,40,39,1911,Rhynchospora,34,pollen,AQVP,Herb
Caldeirão Connor,50,66,1884,Rhynchospora,10,pollen,AQVP,Herb
Caldeirão Connor,60,94,1856,Rhynchospora,3,pollen,AQVP,Herb
Caldeirão Connor,70,123,1827,Rhynchospora,1,pollen,AQVP,Herb
Caldeirão Connor,75,140,1810,Rhynchospora,1,pollen,AQVP,Herb
Caldeirão Connor,85,173,1777,Rhynchospora,7,pollen,AQVP,Herb
Caldeirão Connor,70,123,1827,Riccia,1,spore,AQBR,Liverworts
Caldeirão Connor,90,190,1760,Riccia,2,spore,AQBR,Liverworts
Caldeirão Connor,95,208,1742,Riccia,1,spore,AQBR,Liverworts
Caldeirão Connor,100,225,1725,Riccia,1,spore,AQBR,Liverworts
Caldeirão Connor,110,259,1691,Riccia,2,spore,AQBR,Liverworts
Caldeirão Connor,115,276,1674,Riccia,3,spore,AQBR,Liverworts
Caldeirão Connor,120,293,1657,Riccia,1,spore,AQBR,Liverworts
Caldeirão Connor,260,5440,-3490,Riccia,2,spore,AQBR,Liverworts
Caldeirão Connor,265,5557,-3607,Riccia,1,spore,AQBR,Liverworts
Caldeirão Connor,60,94,1856,Rubiaceae,1,pollen,TRSH,Shrub
Caldeirão Connor,125,309,1641,Rubiaceae,1,pollen,TRSH,Shrub
Caldeirão Connor,130,327,1623,Rubiaceae,1,pollen,TRSH,Shrub
Caldeirão Connor,135,343,1607,Rubiaceae,1,pollen,TRSH,Shrub
