lake,core_depth_id,age_bp,age_ce,high_profile,low_profile,motile,euplanktonic,algivore,detritivore,plantivore,predator
Caveiro,CVL_1B_4240,2271,-321,0.68451243,0.00764818,0.14531549,0.1625239,0.74698795,0.01204819,0.12650602,0.11445783
Caveiro,CVL_1B_4190,2218,-268,0.7221135,0.01174168,0.09393346,0.17221135,0.72527473,0.04395604,0.0989011,0.13186813
Caveiro,CVL_1B_3270,2178,-228,0.64750958,0.07662835,0.18773946,0.08812261,0.67073171,0.01219512,0.20731707,0.1097561
Caveiro,CVL_1B_3330,2178,-228,0.64444444,0.04957265,0.13333333,0.17264957,0.75,0.02380952,0.19047619,0.03571429
Caveiro,CVL_1B_3380,2178,-228,0.70204842,0.04469274,0.18435754,0.0689013,0.6875,0,0.1875,0.125
Caveiro,CVL_1B_3440,2178,-228,0.74807692,0.03076923,0.11153846,0.10961538,0.41666667,0,0.25,0.33333333
Caveiro,CVL_1B_3490,2178,-228,0.67857143,0.02819549,0.13157895,0.16165414,0.7483871,0.00645161,0.12258065,0.12258065
Caveiro,CVL_1B_3600,2178,-228,0.66794626,0.03646833,0.14011516,0.15547025,0.56818182,0.02272727,0.29545455,0.11363636
Caveiro,CVL_1B_3650,2178,-228,0.62278978,0.03732809,0.21414538,0.12573674,0.56666667,0,0.33333333,0.1
Caveiro,CVL_1B_3700,2178,-228,0.75339806,0.05048544,0.10097087,0.09514563,0.47619048,0,0.33333333,0.19047619
Caveiro,CVL_1B_3750,2178,-228,0.70769231,0.03269231,0.14038462,0.11923077,0.72727273,0,0.27272727,0
Caveiro,CVL_1B_3800,2178,-228,0.67307692,0.03269231,0.15192308,0.14230769,0.3,0,0.4,0.3
Caveiro,CVL_1B_3850,2178,-228,0.67315175,0.01945525,0.23151751,0.07587549,0.75,0,0.0625,0.1875
Caveiro,CVL_1B_3900,2178,-228,0.70530452,0.02554028,0.17878193,0.09037328,0.66985646,0.03827751,0.22009569,0.07177033
Caveiro,CVL_1B_3950,2178,-228,0.68371212,0.0094697,0.26136364,0.04545455,0.67073171,0.01219512,0.20731707,0.1097561
Caveiro,CVL_1B_3990,2178,-228,0.65384615,0.03846154,0.30769231,0,0.62777778,0,0.21666667,0.15555556
Caveiro,CVL_1B_4040,2178,-228,0.70754717,0.05660377,0.22641509,0.00943396,0.67073171,0.01219512,0.20731707,0.1097561
Caveiro,CVL_1B_4090,2178,-228,0.70967742,0.01075269,0.26344086,0.01612903,0.61458333,0.01041667,0.27604167,0.09895833
Caveiro,CVL_1B_4140,2178,-228,0.63438735,0.0513834,0.1916996,0.12252964,0.67073171,0.01219512,0.20731707,0.1097561
Caveiro,CVL_1B_3220,2150,-200,0.56866538,0.16441006,0.14119923,0.12572534,0.75167785,0.00671141,0.14765101,0.09395973
Caveiro,CVL_1B_3160,2096,-146,0.58333333,0.125,0.21969697,0.0719697,0.72340426,0.0106383,0.20212766,0.06382979
Caveiro,CVL_1B_3110,2052,-102,0.60536398,0.06130268,0.19348659,0.13984674,0.7029703,0.01980198,0.22772277,0.04950495
Caveiro,CVL_1B_3050,1998,-48,0.5804878,0.09268293,0.24878049,0.07804878,0.81578947,0.01754386,0.12280702,0.04385965
Caveiro,CVL_1B_3000,1953,-3,0.60209424,0.06806283,0.19197208,0.13787086,0.93913043,0.00869565,0.0173913,0.03478261
Caveiro,CVL_1B_2950,1909,41,0.703125,0.06835938,0.15429688,0.07421875,0.7628866,0.0257732,0.17525773,0.03608247
Caveiro,CVL_1B_2890,1898,52,0.5950096,0.12859885,0.14971209,0.12667946,0.71,0.03,0.21,0.05
Caveiro,CVL_1B_2840,1896,54,0.48393195,0.02079395,0.48204159,0.01323251,0.60240964,0.03614458,0.24096386,0.12048193
Caveiro,CVL_1B_2780,1871,79,0.54809437,0.03448276,0.36842105,0.04900181,0.875,0,0.125,0
Caveiro,CVL_1B_2730,1840,110,0.70414201,0.16568047,0.12623274,0.00394477,0.59803922,0.04901961,0.33333333,0.01960784
Caveiro,CVL_1B_2670,1787,163,0.59386282,0.12274368,0.2400722,0.0433213,0.69035533,0.01015228,0.26395939,0.03553299
Caveiro,CVL_1B_2620,1742,208,0.43253235,0.11090573,0.25508318,0.20147874,0.68067227,0.00840336,0.27731092,0.03361345
Caveiro,CVL_1B_2560,1688,262,0.3765324,0.05078809,0.13835377,0.43432574,0.7037037,0.01234568,0.27160494,0.01234568
Caveiro,CVL_1B_2510,1665,285,0.55363985,0.04597701,0.19923372,0.20114943,0.71317829,0,0.20155039,0.08527132
Caveiro,CVL_1B_2400,1647,303,0.68410853,0.03488372,0.20155039,0.07945736,0.75,0,0.25,0
Caveiro,CVL_1B_2450,1647,303,0.54198473,0.13358779,0.22519084,0.09923664,0.71717172,0.03030303,0.19191919,0.06060606
Caveiro,CVL_1B_2350,1631,319,0.56576577,0.12792793,0.22702703,0.07927928,0.64935065,0.03246753,0.2012987,0.11688312
Caveiro,CVL_1B_2290,1596,354,0.57383178,0.03738318,0.24672897,0.14205607,0.70253165,0.02531646,0.20886076,0.06329114
Caveiro,CVL_1B_2240,1556,394,0.46376812,0.04347826,0.19021739,0.30253623,0.71794872,0.02136752,0.22222222,0.03846154
Caveiro,CVL_1B_2180,1504,446,0.45137615,0.0733945,0.1853211,0.28990826,0.70044053,0.01321586,0.2246696,0.06167401
Caveiro,CVL_1B_2130,1461,489,0.46835443,0.13607595,0.21518987,0.18037975,0.68525896,0.00796813,0.21912351,0.0876494
Caveiro,CVL_1B_2070,1430,520,0.46240602,0.12030075,0.40037594,0.01691729,0.66995074,0.00985222,0.24137931,0.07881773
Caveiro,CVL_1B_2020,1386,564,0.51743119,0.17247706,0.26972477,0.04036697,0.62237762,0.00699301,0.30769231,0.06293706
Caveiro,CVL_1B_1960,1334,616,0.58082707,0.10150376,0.30263158,0.01503759,0.61691542,0.00995025,0.22885572,0.14427861
Caveiro,CVL_1B_1910,1291,659,0.54751131,0.08295626,0.35294118,0.01659125,0.60759494,0.01265823,0.18565401,0.19409283
Caveiro,CVL_1B_1850,1243,707,0.70899471,0.08818342,0.19047619,0.01234568,0.61006289,0.00314465,0.22641509,0.16037736
Caveiro,CVL_1B_1800,1199,751,0.64922481,0.0872093,0.15891473,0.10465116,0.61403509,0,0.24561404,0.14035088
Caveiro,CVL_1B_1650,1069,881,0.6,0.14857143,0.12,0.13142857,0.56646217,0,0.25562372,0.17791411
Caveiro,CVL_1B_1600,1026,924,0.6528777,0.12589928,0.12230216,0.09892086,0.55279503,0,0.25258799,0.19461698
Caveiro,CVL_1B_1550,983,967,0.66544118,0.11029412,0.15992647,0.06433824,0.54147465,0,0.29953917,0.15898618
Caveiro,CVL_1B_1500,940,1010,0.66794626,0.16314779,0.14395393,0.02495202,0.53785901,0,0.34464752,0.11749347
Caveiro,CVL_1B_1450,896,1054,0.68667917,0.16885553,0.12945591,0.01500938,0.49595687,0,0.38274933,0.1212938
Caveiro,CVL_1B_1400,853,1097,0.66603053,0.15648855,0.17557252,0.0019084,0.55384615,0,0.33846154,0.10769231
Caveiro,CVL_1B_1350,810,1140,0.59108527,0.16860465,0.24031008,0,0.65277778,0,0.20833333,0.13888889
Caveiro,CVL_1B_1300,767,1183,0.66304348,0.12137681,0.20833333,0.00724638,0.5,0,0.34951456,0.15048544
Caveiro,CVL_1B_1250,726,1224,0.75239923,0.14971209,0.09596929,0.00191939,0.5,0,0.34615385,0.15384615
Caveiro,CVL_1B_1200,684,1266,0.72815534,0.13203883,0.13980583,0,0.48641304,0,0.35326087,0.16032609
Caveiro,CVL_1B_1150,642,1308,0.68390805,0.18773946,0.11302682,0.01532567,0.48605578,0,0.37848606,0.13545817
Caveiro,CVL_1B_1100,601,1349,0.74656189,0.15913556,0.07858546,0.01571709,0.41353383,0,0.51879699,0.06766917
Caveiro,CVL_1B_1000,572,1378,0.66497462,0.21996616,0.08460237,0.03045685,0.69333333,0,0.28,0.02666667
Caveiro,CVL_1B_1050,572,1378,0.69943289,0.18147448,0.10775047,0.01134216,0.54455446,0,0.40594059,0.04950495
Caveiro,CVL_1B_900,497,1453,0.66431095,0.23321555,0.07597173,0.02650177,0.6484375,0,0.28125,0.0703125
Caveiro,CVL_1B_800,414,1536,0.63859649,0.26315789,0.07192982,0.02631579,0.68571429,0.01428571,0.21428571,0.08571429
Caveiro,CVL_1B_750,372,1578,0.62852113,0.27288732,0.07394366,0.02464789,0.77777778,0,0.2,0.02222222
Caveiro,CVL_1B_700,329,1621,0.61879433,0.28014184,0.07978723,0.0212766,0.77586207,0,0.20689655,0.01724138
Caveiro,CVL_1B_600,235,1715,0.59464286,0.2875,0.10357143,0.01428571,0.75862069,0,0.20689655,0.03448276
Caveiro,CVL_1B_550,186,1764,0.58185053,0.28647687,0.12099644,0.01067616,0.82258065,0,0.09677419,0.08064516
Caveiro,CVL_1B_500,137,1813,0.56914894,0.28368794,0.14007092,0.0070922,1,0,0,0
Caveiro,CVL_1B_450,87,1863,0.55254237,0.27288136,0.16779661,0.00677966,1,0,0,0
