age_ce,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Rmean,Rmed
84,-0.3450585,-0.5731304,-0.5278499,-0.7949719,-0.353,-0.4038294,-0.7560625,-0.18,-0.3658434,-0.2803394,-0.3762655,-0.528,-0.23603,-0.7912384,-0.464717,-0.4650891,-0.4038294
85,-0.4747989,-0.7602074,-0.9436072,-1.2475599,-0.67,-0.4627185,-0.7714743,-0.27,-0.0507104,-0.7730465,-0.5288484,-0.69,-0.83583,-0.6722755,-0.4360165,-0.6391396,-0.6722755
86,-0.3240252,-0.6200784,-0.6074495,-0.9283473,-0.178,-0.3592933,-0.667331,0.08,-0.0666345,-0.2344988,-0.3628881,-0.561,-0.13077,-0.8641805,-0.4534373,-0.4185289,-0.3628881
87,-0.3132698,-0.5414254,-0.7097291,-0.9607164,0.068,-0.4145096,-0.6622759,-0.41,0.17355184,-0.3052652,-0.3234096,-0.593,-0.42433,-0.8874459,-0.3341453,-0.4425314,-0.4145096
88,-0.0616466,-0.4178371,-0.3638167,-0.6860373,0.249,-0.3304893,-0.5537245,0.01,0.30652487,0.02084164,-0.1487472,-0.493,0.072708,-1.0183908,-0.3043938,-0.2479339,-0.3043938
89,-0.0460146,-0.505257,-0.3749718,-0.7357289,0.423,-0.3887136,-0.5408704,0.78,0.10872493,-0.0412721,-0.2093151,-0.503,0.14108,-0.6237095,-0.4251721,-0.1960814,-0.3749718
90,-0.3344318,-0.3348891,-0.4121348,-0.2150262,0.144,-0.3618101,-0.6102609,0.28,-0.0185658,-0.1270205,-0.2401392,-0.433,0.079714,-0.8652125,-0.3219663,-0.2513829,-0.3219663
91,-0.4175137,-0.5919181,-0.4969922,-0.5613171,-0.047,-0.4253942,-0.6062498,0.45,-0.0824024,-0.3527982,-0.3766849,-0.524,0.028642,-0.7830553,-0.4441967,-0.3487254,-0.4253942
92,-0.1096037,-0.3613854,-0.3964285,-0.6825548,-0.089,-0.3060096,-0.5333109,0,0.2335657,0.06096201,-0.197634,-0.397,0.18478,-0.6866674,-0.3059182,-0.2390803,-0.3059182
93,-0.4089625,-0.6699717,-0.6324316,-1.0760168,-0.324,-0.417683,-0.7136237,0.33,-0.2946725,-0.4285772,-0.4326583,-0.541,-0.2668,-0.9402584,-0.4449708,-0.4841084,-0.4326583
94,-0.930332,-0.8401202,-0.8234186,-1.5320066,-0.427,-0.4944572,-0.8787725,0.11,-0.7029219,-0.9000879,-0.6448646,-0.579,-0.90697,-0.8548435,-0.4910852,-0.726392,-0.8234186
